,CD45,H4,H3,H3.3,NCad,ECad,panKeratin,K5,EpCam,H3K27me2,p53,EZH2,gH2AX,aSMA,H3K36me2,H3K4me1,H3K9me2,H4K16ac,H2Aub,Vimentin,H3K64ac,BMI-1,ZEB1,H3K27ac,H4K20me3,ER,CD49f,CD24,GATA3,H3K9ac,H3K9me3,CD44,Ki67,K8-18,H3S28p,H3K36me3,H3K4me3,H3K27me3
1,20.764913739347328,0.0,15.817917272916235,0.0,,,,5.030139264186239,28.372479733943045,3.9077114944917897,14.217418416129703,14.737060902099355,34.62897526501767,0.020785699438786113,2.702140927042195,5.923924340054043,5.612138848472251,15.67241737684473,35.73061733527334,5.6537102473498235,7.046352109748493,1.5381417584701726,2.2448555393889005,13.573061733527334,19.767200166285594,2.1201413427561837,8.979422157555602,49.82332155477032,29.183122012055705,14.861775098732071,7.773851590106007,13.510704635210974,11.265849095822073,39.74225732695905,12.325919767200165,0.8522136769902307,1.6420702556641031,24.672625233839117
2,10.076403254723486,0.0,20.65149634533168,0.0,,,,19.005378568473315,3.537167287270721,8.391118466418424,37.4811750103434,40.84402151427389,29.80223417459661,0.5036546683216108,3.8576748034753825,21.23072679630396,11.822920976417047,29.225210315818508,41.52585850227555,5.812163839470418,12.37622396910771,5.5087574127706525,4.860019307681699,20.479933802234175,32.100399944835196,2.812853399531099,6.84043580195835,32.80816439111847,47.995035167563096,19.808578127154874,10.920976417045924,3.1140532340366844,7.949800027582403,26.519928285753693,10.83271272927872,1.9980692318300926,3.525031030202731,28.332643773272654
3,1.7177914110429449,0.0,0.0,0.0,40.736196319018404,22.822085889570552,29.07975460122699,0.36809815950920244,42.944785276073624,1.1042944785276074,,7.2392638036809815,46.38036809815951,0.0,1.3496932515337423,1.5950920245398774,4.294478527607362,7.85276073619632,26.012269938650306,2.4539877300613497,4.41717791411043,1.8404907975460123,,9.815950920245399,10.920245398773005,2.208588957055215,5.276073619631902,35.58282208588957,21.226993865030675,6.257668711656442,2.4539877300613497,1.8404907975460123,9.079754601226995,38.65030674846626,14.23312883435583,0.0,0.6134969325153374,9.815950920245399
4,80.51828536370668,0.0,0.0,0.0,53.371388940755956,20.593774173757637,0.007735602443383393,2.695724079063192,0.006135132972338552,1.4113473285497078,,6.7403771773053425,57.096481634612815,0.00026674491184080666,0.9485449065059085,1.7690522553282295,3.370855450932273,18.05889727653445,46.374936648083434,15.608845261276642,7.047133825922271,2.1614340206460563,,16.38293899543866,1.724239110138974,0.00080023473552242,0.06108458481154472,1.0379044519725786,0.7135426391741578,15.134039318200005,3.8766038037824426,32.206513910747155,33.73923017418443,0.17151697831363866,9.704980127504067,0.6332524207100749,0.056549921310251,13.923550908266424
5,58.93841343706827,0.0,0.0,0.0,28.057878281102305,10.134516105576965,0.4449938195302843,0.16432778302915726,0.004362684505198866,0.008725369010397731,,1.2593615938340725,23.522140623863883,0.0,0.0014542281683996218,0.08434523376717806,0.4348142223514869,2.595797280593325,7.53871882498364,0.8216389151457862,2.703410165054897,0.43335999418308735,,5.632225696211736,1.7392568894059477,0.09743328728277467,0.3024794590271213,14.974187450010906,1.8206936668363267,6.898858430887807,1.2317312586344797,14.34596088126227,14.100196320802736,1.4135097796844325,5.335563149858213,0.12797207881916672,0.013088053515596597,8.046244455755108
4.1,88.15621520328074,0.0,0.0,0.0,53.30563174999774,25.04458506468229,0.055222110570960416,0.0009052805011632855,0.015389768519775854,1.036546173831962,,2.0405022496220457,15.307387994169993,0.0,4.061088328218498,0.352154114952518,0.012673927016285997,13.880665924336654,33.628454776712566,17.341553280283897,5.573812045662349,0.8591111956039579,,12.974480142672206,0.2426151743117605,0.0009052805011632855,0.10048613562912469,2.6524718684084263,0.3277115414211093,11.00821089414555,1.6213573775834444,37.1979757927994,39.772593538107785,0.26977358934665907,8.726904031214072,0.18377194173614694,0.003621122004653142,1.8657831128975313
7,81.30084955274869,0.0,0.0,0.0,40.86693336929324,17.6787881512114,0.8255794788810475,0.004494988088281566,0.014983293627605221,0.44650215010263555,,1.5118143270253668,9.743635846031674,0.0,2.562143210320493,0.28767923765002024,0.019478281715886787,11.182032034281777,23.000854047736773,12.066046358310484,3.6259570578804636,0.3595990470625253,,11.101122248692707,2.4347852144858484,0.007491646813802611,0.42252888029846725,9.58780959230458,1.4503828231521854,10.311502674517913,2.075186167423323,7.957627245621132,32.05525838689861,5.990320792316567,4.580392861958916,0.3281341304445543,0.010488305539323653,3.705368514106771
8,83.55341751854078,0.0,0.0,0.0,42.218480657446385,13.573862497494488,0.502705953096813,0.0008017638805371818,0.1194628182000401,0.5355782721988375,,1.2363199037883343,8.44658248145921,0.0,2.602525556223692,0.24934856684706352,0.01844056925235518,11.494888755261575,28.175586289837646,8.812186810984166,1.0254560032070557,0.27099619162156746,,8.64862697935458,0.7312086590499098,0.009621166566446182,1.5225496091401083,4.969332531569453,1.2740028061735817,9.47684906794949,1.1721787933453598,19.005812788133895,37.80797755061134,3.2094608137903387,3.813990779715374,0.22369212266987373,0.0032070555221487274,1.0887953497694929
11,79.26873198847262,0.0,0.0,0.0,25.14666529435982,13.529230135858377,1.86547962124331,0.002573075339645945,0.18011527377521613,0.3036228900782215,,0.9726224783861672,6.2628653766982305,0.0,1.8500411692054342,0.23672293124742694,0.012865376698229724,5.303108275010293,16.480547550432277,0.26245368464388635,1.5772951832029642,0.4142651296829971,,10.523878139151915,1.86547962124331,0.023157678056813503,1.8783449979415396,17.736208316179496,3.6151708522025525,7.577706875257308,1.0395224372169618,9.983532317826265,18.00123507616303,15.996809386578839,5.9772540139975305,0.13637299300123507,0.00514615067929189,2.3054755043227666
